date,recovery_hrv,recovery_sleep,recovery_rhr,recovery_score,recovery_class
2025-06-26,,,,,
2025-06-27,,,,,
2025-06-28,,,,,
2025-06-29,,,,,
2025-06-30,,,,,
2025-07-01,,,,,
2025-07-02,,,,,
2025-07-03,,,,,
2025-07-04,,,,,
2025-07-05,,,,,
2025-07-06,,,,,
2025-07-07,,,,,
2025-07-08,,,,,
2025-07-09,26.289945426066932,34.037165800945345,45.75486967227654,33.86770361882678,Moderate
2025-07-10,17.76239805192125,34.605831723962275,9.534946489910938,21.600736946633027,Low
2025-07-11,29.344191161815843,17.29000338067617,7.00796230365176,19.54116822387594,Low
2025-07-12,68.3697918803451,63.853652046899306,24.054123818873116,55.71022592327108,Moderate
2025-07-13,32.99258215161152,38.1786744462016,5.756568790453157,27.998711114428456,Low
2025-07-14,69.06034954683967,66.2760271948248,29.85604768336894,58.28476125776678,Moderate
2025-07-15,47.69687961766058,69.43871101207216,74.12488525519319,61.913522015087786,Moderate
2025-07-16,27.29451378629205,61.247738171398865,43.612594961412164,43.25766261485946,Moderate
2025-07-17,54.6132032076083,60.98614715183494,60.050619060212476,58.203087551238674,Moderate
2025-07-18,54.515446364084944,56.39804247272334,43.142782599830284,52.331189061044725,Moderate
2025-07-19,70.90058860671391,38.150805859066004,27.83150170936175,48.6708929206991,Moderate
2025-07-20,1.6407395938608933,1.9127544186830148,28.360996859583643,8.416009098979323,Low
2025-07-21,41.882242460952774,53.932118443369056,5.67879871369511,37.048838117984054,Moderate
2025-07-22,52.410854302828334,67.39809578601167,48.06685141489916,56.570388099960205,Moderate
2025-07-23,12.236316844795494,9.395634064800163,6.659651181510047,9.847911455975767,Low
2025-07-24,13.237972835142596,37.259923110254654,4.74013212834857,19.521195254733307,Low
2025-07-25,14.168382511590771,12.578344239329978,5.913772473199575,11.548216606701693,Low
2025-07-26,36.711778223860925,68.65980029461363,11.617987080993963,41.62013816290763,Moderate
2025-07-27,13.332902595418206,23.345537544337102,3.4159424385484245,14.358084788322374,Low
2025-07-28,50.52058255741088,74.42038864382205,25.091466685719205,52.528235719731875,Moderate
2025-07-29,77.52611368466435,37.81962402432216,38.082789468047366,53.76801124939034,Moderate
2025-07-30,35.50760181912966,52.172457823477586,7.328452707606423,34.29551414277063,Moderate
2025-07-31,47.63178596545106,71.72691930141787,20.685181301989914,49.328431467174156,Moderate
2025-08-01,85.44957260304868,68.98937484765666,72.31228655898092,76.40418187764453,High
2025-08-02,78.19040447533492,78.31107241378582,75.50646472338248,77.56165331580462,High
2025-08-03,31.087296424119355,61.86617416633495,61.744057277012196,49.524093847118024,Moderate
2025-08-04,44.1253115459149,77.6066061541571,62.32548615687177,60.39380831153889,Moderate
2025-08-05,54.820698905919144,64.41319048713805,61.81220537971959,59.925947577795874,Moderate
2025-08-06,90.2612644652126,58.54194650232205,90.89048286947353,79.31680777926614,High
2025-08-07,48.064031335544385,73.88601725762429,75.88931149672374,64.05804644856718,Moderate
2025-08-08,25.43297773752515,31.251480949123206,85.61447711380241,42.514828705653784,Moderate
2025-08-09,83.58474969098319,94.68526167256013,94.08622752680043,90.09529834348943,High
2025-08-10,58.357162841014144,79.82468642223371,92.57823252971765,74.42606351661686,High
2025-08-11,65.37041718929889,75.96199249722198,91.21514606225895,75.53865076531198,High
2025-08-12,58.9111412991858,76.51389606296013,65.56488168917733,66.73554056400471,High
2025-08-13,41.328041667662475,16.425350592874462,65.105375714793,38.5564333032693,Moderate
2025-08-14,54.820698905919144,59.36505623048081,90.19684118267102,65.2552595387037,Moderate
2025-08-15,76.55656807591953,79.23081753815133,89.03587040091602,80.6123809689498,High
2025-08-16,66.19911868678854,91.3537502116618,94.71941822973703,82.13331460623131,High
2025-08-17,66.44363584407256,85.68298967736644,96.76922076755972,80.7588059165972,High
2025-08-18,61.65197720006392,63.549546455945205,91.01277474798061,69.65632582660155,High
2025-08-19,18.01185580927679,64.0803647469061,85.48308330578513,51.00364081157413,Moderate
2025-08-20,60.387351092051695,85.96222739028931,88.43439560909,76.35031892569444,High
2025-08-21,83.9800573475808,86.14789700989529,87.08354555746573,85.51467328186209,High
2025-08-22,27.141670197489194,71.30548337166564,85.6100253216992,57.21609358950345,Moderate
2025-08-23,71.81044725376911,80.33069762671256,91.65712195075095,79.75420355854477,High
2025-08-24,62.28835862742107,16.96211442116636,90.42940541086305,53.45943485109242,Moderate
2025-08-25,20.453868625996897,43.80565148932578,79.7017504736444,43.438963090073884,Moderate
2025-08-26,60.319886110244234,73.57923266577718,71.15310319971779,67.66896167704915,High
2025-08-27,96.46022771247517,27.425560960252753,94.58410965824758,71.82906483564044,High
2025-08-28,96.66516281009118,12.877475965452126,90.51199588040443,65.80118068204582,Moderate
2025-08-29,97.20561529337886,93.02146281434622,90.30252997034712,94.0153905949595,High
2025-08-30,81.83296660154012,20.350485991297255,77.79237138613925,59.3039495841049,Moderate
2025-08-31,10.21874804841079,2.1593725531601127,42.35394923275797,15.431766921159848,Low
2025-09-01,51.85974527026219,87.04022210666776,75.95099192717238,70.19572382723169,High
2025-09-02,72.20776694978487,82.62374552269131,82.97196688694635,78.5444094345925,High
2025-09-03,96.77302100080804,58.994682521608176,88.2946994684355,81.43102214999496,High
2025-09-04,98.30662619695545,49.702663967428194,92.08714592153548,79.74036934776592,High
2025-09-05,49.56546714555406,5.9702790849371405,26.885445306878317,28.6371458646692,Low
2025-09-06,98.07654756440365,43.02537098555541,65.77869674319635,70.73417305650494,High
2025-09-07,96.98574979904124,65.86378142805262,85.51379361429322,83.22507182300822,High
2025-09-08,97.90699422891728,59.38032309951933,84.00513647574383,80.94719489533463,High
2025-09-09,72.90372199877247,36.73998570154446,58.858678557088666,56.73515343432172,Moderate
2025-09-10,89.26662309006068,29.763924155160616,93.29873642645282,69.4487067969437,High
